year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2004,6,-0.02737725,0.26758,-0.02737725,-0,-0.02951402,0.00213677
2004,7,0,0,0,0,0,0
2004,8,0.04971448,-0.30232,0.04971448,0,0.04273725,0.00697723
2004,9,-0.01419391,0.0293,-0.01419391,-0,-0.00882984,-0.00536407
2004,10,0,0,0,0,0,0
2004,11,-0.02838619,0.1175,-0.02838619,-0,-0.02114236,-0.00724383
2004,12,-0.01455039,0.06497,-0.01455039,-0,-0.01111769,-0.0034327
2005,1,0,0,0,0,0,0
2005,2,-0.01397984,0.01929,-0.01397984,-0,-0.00813078,-0.00584906
2005,3,0.06765631,-0.33953,0.06765631,0,0.05390887,0.01374744
2005,4,0,0,0,0,0,0
2005,5,0.005633,0.621,-0.02077467,0.02640767,-0.0339111,0.0395441
2005,6,0.04697282,-0.41325,0.04697282,0,0.04792712,-0.0009543
2005,7,0,0,0,0,0,0
2005,8,-0.01986487,0.21427,-0.01986487,-0,-0.02260494,0.00274007
2005,9,0.02471223,-0.15015,0.02471223,0,0.02123639,0.00347584
2005,10,0,0,0,0,0,0
2005,11,0.00645912,0.2192,0,0.00645912,-0.00973451,0.01619363
2005,12,-0.02711052,0.52662,-0.02711052,-0,-0.04470098,0.01759046
2006,1,0.02985199,-0.22803,0.02985199,0,0.0284123,0.00143969
2006,2,0,0,0,0,0,0
2006,3,0.04601083,-0.62108,0.04601083,0,0.05973775,-0.01372692
2006,4,0,0,0,0,0,0
2006,5,0.05077098,-0.19309,0.05077098,0,0.03680535,0.01396563
2006,6,-0.04296139,0.54151,-0.04296139,-0,-0.05350704,0.01054565
2006,7,0,0,0,0,0,0
2006,8,-0.04054683,-0.2469,-0,-0.04054683,-0.00567109,-0.03487574
2006,9,0.0178247,-0.26777,0.0178247,0,0.02474898,-0.00692428
2006,10,-0.010461,-0.07474,-0,-0.010461,-0.00081018,-0.00965082
2006,11,0,0,0,0,0,0
2006,12,-0.03226615,0.26109,-0.03226615,-0,-0.03157464,-0.00069151
2007,1,-0.00805751,0.4816,-0.00805751,-0,-0.03251187,0.02445436
2007,2,0,0,0,0,0,0
2007,3,-0.08335045,0.81634,-0.08335045,-0,-0.08995576,0.00660531
2007,4,0,0,0,0,0,0
2007,5,0.0365754,-0.13457,0.0365754,0,0.02624653,0.01032887
2007,6,0.01206259,-0.27362,0.01206259,0,0.02221391,-0.01015132
2007,7,0,0,0,0,0,0
2007,8,-0.04407997,-1.25388,-0.01962905,-0.02445092,0.05211784,-0.09619781
2007,9,-0.20509211,1.32029,-0.20509211,-0,-0.18063154,-0.02446057
2007,10,0.05345248,-0.41526,0.05345248,0,0.05128583,0.00216665
2007,11,0,0,0,0,0,0
2007,12,0.0378258,-1.76769,0.0378258,0,0.12345881,-0.08563301
2008,1,-0.27966567,NaN,-0.12098093,-0,NaN,NaN
2008,2,0,0,0,0,0,0
2008,3,0.1542557,0.47764,0.05247882,0.10177688,0.04887894,0.10537676
2008,4,-0.07965366,0.16293,-0.07965366,-0,-0.04946295,-0.03019071
2008,5,0,0,0,0,0,0
2008,6,-0.05339118,0.03392,-0.05339118,-0,-0.02870171,-0.02468947
2008,7,0,0,0,0,0,0
2008,8,-0.03600638,0.13432,-0.03600638,-0,-0.02594723,-0.01005915
2008,9,0.10555427,-0.62947,0.10555427,0,0.09000567,0.0155486
2008,10,-0.11447943,NaN,-0,-0.07931195,NaN,NaN
2008,11,-0.09246889,1.64061,-0.09246889,-0,-0.14326451,0.05079562
2008,12,-0.24761027,1.59331,-0.24761027,-0,-0.21803775,-0.02957252
2009,1,-0.01051577,-0.1973,-0,-0.01051577,0.00641096,-0.01692673
2009,2,0,0,0,0,0,0
2009,3,-0.06080585,1.80819,-0.06080585,-0,-0.13734412,0.07653827
2009,4,0.01684608,0.62292,0,0.01684608,-0.02841811,0.04526419
2009,5,0,0,0,0,0,0
2009,6,0.03844336,-0.6802,0.03844336,0,0.05945053,-0.02100717
2009,7,0,0,0,0,0,0
2009,8,-0.01414656,-0.26438,-0,-0.01414656,0.00856286,-0.02270942
2009,9,-0.08797793,0.52867,-0.08797793,-0,-0.07525592,-0.01272201
2009,10,0,0,0,0,0,0
2009,11,-0.0248939,0.08621,-0.0248939,-0,-0.01754564,-0.00734826
2009,12,0.00162264,-0.05211,0.00162264,0,0.00389324,-0.0022706
2010,1,0.02768005,0.09656,0,0.02768005,0.00812921,0.01955084
2010,2,0,0,0,0,0,0
2010,3,-0.0358241,0.19305,-0.0358241,-0,-0.02932954,-0.00649456
2010,4,-0.00672185,0.16698,-0.00672185,-0,-0.01323657,0.00651472
2010,5,0,0,0,0,0,0
2010,6,0.0037771,0.34692,0,0.0037771,-0.01862923,0.02240633
2010,7,0,0,0,0,0,0
